Natural Frequency		8.2V		8.3V		8.4V		8.5V		8.6V		8.7V		8.8V		8.9V		9.0V		9.1V		9.2V		9.3V		9.4V		9.5V		9.6V		9.7V		9.8V		9.9V		10.0V		Natural_Freq_w/Motor	
Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage	Time - Voltage	Amplitude - Voltage
0.22	-1.25312	0.22	0.219133	0.22	0.183601	0.22	-0.321734	0.22	-0.193755	0.22	-0.500049	0.22	-0.688892	0.22	-1.00177	0.22	-1.15146	0.22	-1.16791	0.22	-0.890236	0.22	-1.36333	0.22	-1.08928	0.22	1.38015	0.22	-4.05449	0.22	-3.93112	0.22	0.0875347	0.22	0.709992	0.22	0.565893	0.22	-0.342461	0.22	0.0497004
0.221	-2.37959	0.221	0.265192	0.221	0.17406	0.221	-0.395429	0.221	-0.297389	0.221	-0.504984	0.221	-0.754691	0.221	-0.809962	0.221	-1.24325	0.221	-1.06723	0.221	-1.12514	0.221	-1.51829	0.221	-1.56862	0.221	1.83318	0.221	-4.34828	0.221	-3.27017	0.221	-0.0670926	0.221	0.563919	0.221	0.528387	0.221	-0.631647	0.221	0.103326
0.222	-2.91223	0.222	0.151031	0.222	0.223738	0.222	-0.390494	0.222	-0.432934	0.222	-0.443791	0.222	-0.768179	0.222	-0.757651	0.222	-1.19817	0.222	-0.908989	0.222	-1.20936	0.222	-1.67785	0.222	-1.79135	0.222	2.21909	0.222	-4.36341	0.222	-2.50395	0.222	-0.186847	0.222	0.267166	0.222	0.543521	0.222	-0.633621	0.222	0.154321
0.223	-2.73457	0.223	0.122408	0.223	0.251703	0.223	-0.407931	0.223	-0.374373	0.223	-0.382598	0.223	-0.776075	0.223	-0.669152	0.223	-1.04223	0.223	-0.596444	0.223	-1.42814	0.223	-1.75812	0.223	-2.09896	0.223	2.72706	0.223	-4.24794	0.223	-1.63903	0.223	-0.71225	0.223	-0.0707115	0.223	0.00462817	0.223	-0.684286	0.223	0.199393
0.224	-1.88018	0.224	0.119118	0.224	0.296446	0.224	-0.400693	0.224	-0.468795	0.224	-0.330288	0.224	-0.734622	0.224	-0.587891	0.224	-0.967879	0.224	-0.472085	0.224	-1.4594	0.224	-1.66765	0.224	-2.14272	0.224	2.91393	0.224	-4.05318	0.224	-0.688234	0.224	-0.707315	0.224	-0.0522879	0.224	-0.144406	0.224	-0.959325	0.224	0.238872
0.225	-0.583614	0.225	0.0115371	0.225	0.365206	0.225	-0.228958	0.225	-0.451029	0.225	-0.243763	0.225	-0.674416	0.225	-0.341145	0.225	-0.848125	0.225	-0.297389	0.225	-1.53013	0.225	-1.71502	0.225	-2.4194	0.225	3.09652	0.225	-3.69655	0.225	0.305329	0.225	-0.94123	0.225	-0.266134	0.225	-0.0519589	0.225	-0.808975	0.225	0.269798
0.226	0.834681	0.226	-0.0111636	0.226	0.35402	0.226	-0.314167	0.226	-0.510248	0.226	-0.149999	0.226	-0.574073	0.226	-0.231919	0.226	-0.759954	0.226	0.00923409	0.226	-1.44887	0.226	-1.56171	0.226	-2.38946	0.226	3.05802	0.226	-3.26162	0.226	1.013	0.226	-1.20146	0.226	-0.717843	0.226	-0.548082	0.226	-0.879708	0.226	0.29184
0.227	2.00952	0.227	-0.0723565	0.227	0.28197	0.227	-0.367135	0.227	-0.452016	0.227	0.0760199	0.227	-0.54545	0.227	-0.0513009	0.227	-0.509261	0.227	0.190839	0.227	-1.4844	0.227	-1.38142	0.227	-2.32893	0.227	3.18798	0.227	-2.71122	0.227	1.80357	0.227	-1.24061	0.227	-0.632634	0.227	-0.618158	0.227	-0.930373	0.227	0.304013
0.228	2.64678	0.228	-0.144406	0.228	0.317831	0.228	-0.253961	0.228	-0.447739	0.228	0.0467394	0.228	-0.490508	0.228	0.243807	0.228	-0.366148	0.228	0.524768	0.228	-1.32221	0.228	-1.16824	0.228	-2.10357	0.228	2.95308	0.228	-1.99335	0.228	2.62046	0.228	-1.09619	0.228	-0.840229	0.228	-0.599734	0.228	-0.693169	0.228	0.305987
0.229	2.59776	0.229	-0.13322	0.229	0.311909	0.229	-0.195071	0.229	-0.428657	0.229	0.17735	0.229	-0.329301	0.229	0.24611	0.229	-0.164146	0.229	0.709663	0.229	-1.23206	0.229	-0.888262	0.229	-1.9065	0.229	2.55401	0.229	-1.26661	0.229	3.3732	0.229	-1.38044	0.229	-1.1485	0.229	-0.834636	0.229	-0.543476	0.229	0.29842
0.23	1.86674	0.23	-0.194742	0.23	0.273088	0.23	-0.164804	0.23	-0.329959	0.23	0.260586	0.23	-0.226984	0.23	0.49483	0.23	0.178337	0.23	0.925155	0.23	-1.0146	0.23	-0.596115	0.23	-1.61731	0.23	2.34904	0.23	-0.586904	0.23	3.88248	0.23	-1.20607	0.23	-1.02249	0.23	-1.04092	0.23	-0.683957	0.23	0.280325
0.231	0.65176	0.231	-0.260541	0.231	0.234266	0.231	-0.150328	0.231	-0.29706	0.231	0.344808	0.231	-0.00754462	0.231	0.658011	0.231	0.304013	0.231	1.03372	0.231	-0.780352	0.231	-0.256922	0.231	-1.33471	0.231	1.99307	0.231	0.295788	0.231	4.34834	0.231	-1.04453	0.231	-1.03269	0.231	-0.802724	0.231	-0.26745	0.231	0.254006
0.232	-0.748769	0.232	-0.276991	0.232	0.229002	0.232	-0.0262973	0.232	-0.25758	0.232	0.372773	0.232	0.075691	0.232	0.756709	0.232	0.609978	0.232	1.15249	0.232	-0.524066	0.232	0.075691	0.232	-0.896158	0.232	1.41437	0.232	1.03734	0.232	4.66417	0.232	-0.976104	0.232	-1.24325	0.232	-0.979065	0.232	-0.0789364	0.232	0.219133
0.233	-1.96637	0.233	-0.293441	0.233	0.145767	0.233	0.0447655	0.233	-0.141116	0.233	0.454035	0.233	0.179653	0.233	0.812638	0.233	0.688608	0.233	1.28178	0.233	-0.250342	0.233	0.344479	0.233	-0.443791	0.233	0.866923	0.233	1.79173	0.233	4.88065	0.233	-0.778049	0.233	-0.913266	0.233	-1.02677	0.233	-0.109862	0.233	0.176692
0.234	-2.69378	0.234	-0.266792	0.234	0.116157	0.234	0.11188	0.234	-0.0983471	0.234	0.600766	0.234	0.328688	0.234	0.907718	0.234	0.829417	0.234	1.37588	0.234	0.012195	0.234	0.546811	0.234	-0.106243	0.234	0.331649	0.234	2.37997	0.234	4.80663	0.234	-0.454319	0.234	-0.940901	0.234	-0.741202	0.234	-0.0187304	0.234	0.129317
0.235	-2.75662	0.235	-0.303968	0.235	0.107274	0.235	0.246768	0.235	0.017459	0.235	0.588264	0.235	0.466536	0.235	1.02023	0.235	0.921207	0.235	1.30284	0.235	0.284273	0.235	0.978123	0.235	0.330004	0.235	-0.269424	0.235	2.99848	0.235	4.50296	0.235	-0.238499	0.235	-0.937611	0.235	-0.724752	0.235	0.443507	0.235	0.0776649
0.236	-2.14107	0.236	-0.293441	0.236	0.0187749	0.236	0.172744	0.236	0.0691111	0.236	0.537928	0.236	0.500423	0.236	1.00675	0.236	1.01135	0.236	1.28836	0.236	0.483644	0.236	1.19888	0.236	0.694858	0.236	-0.841545	0.236	3.44361	0.236	4.02033	0.236	-0.0401151	0.236	-0.661914	0.236	-0.760283	0.236	0.340202	0.236	0.0243678
0.237	-1.02183	0.237	-0.214153	0.237	-0.044721	0.237	0.255322	0.237	0.13491	0.237	0.613926	0.237	0.588264	0.237	0.959041	0.237	1.22947	0.237	1.26402	0.237	0.84159	0.237	1.28771	0.237	1.26501	0.237	-1.27746	0.237	3.73575	0.237	3.55316	0.237	0.27243	0.237	-0.284558	0.237	-0.27403	0.237	0.665249	0.237	-0.0282713
0.238	0.329675	0.238	-0.235538	0.238	-0.0888062	0.238	0.28197	0.238	0.227357	0.238	0.549443	0.238	0.773159	0.238	0.910679	0.238	1.22388	0.238	1.14361	0.238	1.07912	0.238	1.59597	0.238	1.54597	0.238	-1.90814	0.238	3.92723	0.238	3.03335	0.238	0.65834	0.238	-0.328643	0.238	-0.178622	0.238	0.81856	0.238	-0.0792654
0.239	1.56636	0.239	-0.26745	0.239	-0.142432	0.239	0.307632	0.239	0.259599	0.239	0.544508	0.239	0.787635	0.239	0.913969	0.239	1.2025	0.239	1.013	0.239	1.18769	0.239	1.71178	0.239	1.78251	0.239	-2.28846	0.239	4.17759	0.239	2.0819	0.239	0.733022	0.239	-0.00392568	0.239	-0.189807	0.239	0.684002	0.239	-0.126312
0.24	2.3849	0.24	-0.19869	0.24	-0.19869	0.24	0.450416	0.24	0.305	0.24	0.475748	0.24	0.768224	0.24	0.747827	0.24	1.1038	0.24	0.806059	0.24	1.40713	0.24	1.75948	0.24	2.10263	0.24	-2.66252	0.24	3.99401	0.24	1.18835	0.24	1.04655	0.24	0.277036	0.24	0.120105	0.24	0.787964	0.24	-0.167765
0.241	2.57901	0.241	-0.226326	0.241	-0.246066	0.241	0.368167	0.241	0.362903	0.241	0.457324	0.241	0.754077	0.241	0.664591	0.241	1.10018	0.241	0.530361	0.241	1.55255	0.241	1.6973	0.241	2.26285	0.241	-2.69773	0.241	3.68772	0.241	0.326385	0.241	1.21467	0.241	0.32474	0.241	0.427057	0.241	1.01431	0.241	-0.202309
0.242	2.09243	0.242	-0.123351	0.242	-0.302982	0.242	0.35402	0.242	0.504042	0.242	0.311909	0.242	0.754406	0.242	0.577407	0.242	0.908376	0.242	0.370141	0.242	1.55781	0.242	1.81706	0.242	2.3701	0.242	-3.06784	0.242	3.37912	0.242	-0.574073	0.242	1.30416	0.242	0.557997	0.242	0.374747	0.242	0.760657	0.242	-0.229945
0.243	1.05873	0.243	-0.113481	0.243	-0.243105	0.243	0.406659	0.243	0.485289	0.243	0.236898	0.243	0.712953	0.243	0.391526	0.243	0.774475	0.243	0.135568	0.243	1.51274	0.243	1.55024	0.243	2.31351	0.243	-3.16358	0.243	2.91031	0.243	-1.36201	0.243	1.53281	0.243	0.988322	0.243	0.761315	0.243	0.822508	0.243	-0.24771
0.244	-0.265147	0.244	-0.0230074	0.244	-0.279952	0.244	0.352046	0.244	0.425412	0.244	0.21979	0.244	0.600437	0.244	0.181956	0.244	0.727758	0.244	-0.0101766	0.244	1.55485	0.244	1.34791	0.244	2.4303	0.244	-3.1116	0.244	2.24936	0.244	-2.14962	0.244	1.57393	0.244	0.96924	0.244	0.918575	0.244	0.775791	0.244	-0.255935
0.245	-1.52059	0.245	0.0842448	0.245	-0.2839	0.245	0.282299	0.245	0.495817	0.245	0.0622022	0.245	0.62906	0.245	-0.0299162	0.245	0.493514	0.245	-0.382598	0.245	1.39397	0.245	1.19131	0.245	2.16283	0.245	-2.90631	0.245	1.59762	0.245	-2.9879	0.245	1.38575	0.245	0.915285	0.245	0.699464	0.245	0.57642	0.245	-0.254619
0.246	-2.40065	0.246	0.0849028	0.246	-0.354305	0.246	0.257296	0.246	0.454364	0.246	-0.0690666	0.246	0.454693	0.246	-0.181254	0.246	0.252032	0.246	-0.579008	0.246	1.13933	0.246	0.958383	0.246	1.84305	0.246	-2.67174	0.246	0.979439	0.246	-3.84065	0.246	1.3489	0.246	1.22651	0.246	0.919233	0.246	0.344479	0.246	-0.243105
0.247	-2.68391	0.247	0.131291	0.247	-0.328972	0.247	0.291511	0.247	0.450087	0.247	-0.177964	0.247	0.328688	0.247	-0.280939	0.247	0.012524	0.247	-0.745479	0.247	1.09163	0.247	0.593857	0.247	1.69533	0.247	-2.32103	0.247	0.106616	0.247	-4.41507	0.247	1.42852	0.247	1.23013	0.247	1.19427	0.247	0.470155	0.247	-0.222049
0.248	-2.31609	0.248	0.173402	0.248	-0.276004	0.248	0.196432	0.248	0.376392	0.248	-0.259883	0.248	0.241175	0.248	-0.436224	0.248	-0.220733	0.248	-0.983341	0.248	0.861988	0.248	0.374747	0.248	1.36469	0.248	-1.89794	0.248	-0.671126	0.248	-4.68089	0.248	1.13308	0.248	0.996875	0.248	0.822837	0.248	0.0220649	0.248	-0.192768
0.249	-1.39557	0.249	0.227028	0.249	-0.2839	0.249	0.102339	0.249	0.329346	0.249	-0.240144	0.249	0.0684531	0.249	-0.651057	0.249	-0.440501	0.249	-1.10211	0.249	0.591883	0.249	0.0862188	0.249	0.886662	0.249	-1.41367	0.249	-1.39491	0.249	-4.93454	0.249	0.946868	0.249	1.07649	0.249	0.845209	0.249	-0.187834	0.249	-0.15625
0.25	-0.143748	0.25	0.185575	0.25	-0.233893	0.25	0.110893	0.25	0.306645	0.25	-0.474059	0.25	-0.0466949	0.25	-0.756336	0.25	-0.639872	0.25	-1.26957	0.25	0.32145	0.25	-0.413524	0.25	0.492856	0.25	-0.802724	0.25	-2.16278	0.25	-5.04278	0.25	0.735325	0.25	1.01727	0.25	0.893571	0.25	-0.0838713	0.25	-0.112823
0.251	1.1163	0.251	0.233608	0.251	-0.204941	0.251	0.0598992	0.251	0.202025	0.251	-0.504655	0.251	-0.202967	0.251	-0.871154	0.251	-0.748111	0.251	-1.34392	0.251	0.0539773	0.251	-0.644478	0.251	0.0388436	0.251	-0.277649	0.251	-2.89315	0.251	-5.00231	0.251	0.487592	0.251	0.652089	0.251	0.653734	0.251	-0.392468	0.251	-0.0657766
0.252	2.07565	0.252	0.37047	0.252	-0.195071	0.252	-0.0753175	0.252	0.14149	0.252	-0.504984	0.252	-0.3395	0.252	-0.935308	0.252	-0.928728	0.252	-1.363	0.252	-0.232577	0.252	-0.831017	0.252	-0.352989	0.252	0.217159	0.252	-3.3692	0.252	-4.3769	0.252	0.103655	0.252	0.718546	0.252	0.542534	0.252	-0.683628	0.252	-0.0144535
0.253	2.47571	0.253	0.300723	0.253	-0.14638	0.253	-0.119074	0.253	0.0579253	0.253	-0.590522	0.253	-0.435566	0.253	-1.00867	0.253	-1.01624	0.253	-1.35807	0.253	-0.527685	0.253	-1.21232	0.253	-0.835294	0.253	0.823824	0.253	-3.7811	0.253	-4.26307	0.253	-0.0624867	0.253	0.54385	0.253	0.519175	0.253	-0.566835	0.253	0.0368696
0.254	2.22501	0.254	0.277694	0.254	-0.115126	0.254	-0.168094	0.254	-0.0256393	0.254	-0.588549	0.254	-0.561571	0.254	-0.919846	0.254	-1.16889	0.254	-1.28898	0.254	-0.708302	0.254	-1.35971	0.254	-1.11132	0.254	1.48412	0.254	-4.03344	0.254	-3.80512	0.254	-0.198361	0.254	0.106287	0.254	0.0625312	0.254	-0.729687	0.254	0.0872058
0.255	1.38937	0.255	0.334939	0.255	-0.0868323	0.255	-0.197374	0.255	-0.110191	0.255	-0.598089	0.255	-0.594141	0.255	-0.970511	0.255	-1.22318	0.255	-1.12514	0.255	-1.04815	0.255	-1.54888	0.255	-1.57454	0.255	1.84009	0.255	-4.39566	0.255	-3.09712	0.255	-0.727713	0.255	-0.0236653	0.255	-0.178951	0.255	-0.925109	0.255	0.136226
0.256	0.189194	0.256	0.273417	0.256	0.0332507	0.256	-0.281268	0.256	-0.204941	0.256	-0.557623	0.256	-0.689879	0.256	-0.925767	0.256	-1.24456	0.256	-1.01887	0.256	-1.19686	0.256	-1.68245	0.256	-1.83642	0.256	2.20396	0.256	-4.37789	0.256	-2.23911	0.256	-0.71883	0.256	-0.0716985	0.256	0.015814	0.256	-0.781668	0.256	0.180311
0.257	-1.06066	0.257	0.27243	0.257	0.0802969	0.257	-0.34937	0.257	-0.174016	0.257	-0.603024	0.257	-0.730345	0.257	-0.855034	0.257	-1.20969	0.257	-0.857995	0.257	-1.34951	0.257	-1.75384	0.257	-2.13975	0.257	2.66356	0.257	-4.24267	0.257	-1.30773	0.257	-0.975775	0.257	-0.554004	0.257	-0.394113	0.257	-0.872799	0.257	0.218475
0.258	-2.05455	0.258	0.264534	0.258	0.160572	0.258	-0.272385	0.258	-0.317128	0.258	-0.531304	0.258	-0.748769	0.258	-0.733306	0.258	-1.06296	0.258	-0.553675	0.258	-1.40906	0.258	-1.70877	0.258	-2.27234	0.258	2.91722	0.258	-3.97224	0.258	-0.360885	0.258	-1.20574	0.258	-0.677706	0.258	-0.687247	0.258	-0.893526	0.258	0.2494
0.259	-2.54113	0.259	0.232292	0.259	0.14149	0.259	-0.374702	0.259	-0.41155	0.259	-0.367135	0.259	-0.807659	0.259	-0.6175	0.259	-0.992882	0.259	-0.452016	0.259	-1.56796	0.259	-1.71108	0.259	-2.35985	0.259	3.05572	0.259	-3.56857	0.259	0.438901	0.259	-1.23173	0.259	-0.770811	0.259	-0.681325	0.259	-0.638885	0.259	0.272759
0.26	-2.41052	0.26	0.218475	0.26	0.278351	0.26	-0.372399	0.26	-0.37536	0.26	-0.326998	0.26	-0.739228	0.26	-0.546766	0.26	-0.858653	0.26	-0.25758	0.26	-1.58672	0.26	-1.58277	0.26	-2.41874	0.26	3.136	0.26	-3.19747	0.26	1.30514	0.26	-1.16231	0.26	-0.941559	0.26	-0.768508	0.26	-0.613223	0.26	0.286247
0.261	-1.69298	0.261	0.162545	0.261	0.291511	0.261	-0.41813	0.261	-0.474388	0.261	-0.351344	0.261	-0.683957	0.261	-0.243105	0.261	-0.810291	0.261	0.071414	0.261	-1.49657	0.261	-1.41893	0.261	-2.36676	0.261	3.1531	0.261	-2.58225	0.261	2.41089	0.261	-1.36826	0.261	-1.18469	0.261	-1.09684	0.261	-0.642833	0.261	0.290195
0.262	-0.56848	0.262	0.07273	0.262	0.25598	0.262	-0.366148	0.262	-0.447081	0.262	-0.215798	0.262	-0.576705	0.262	-0.134207	0.262	-0.544463	0.262	0.198077	0.262	-1.41728	0.262	-1.22022	0.262	-2.16213	0.262	2.90767	0.262	-1.76668	0.262	3.09619	0.262	-1.23634	0.262	-0.960312	0.262	-0.827727	0.262	-0.231919	0.262	0.284602
0.263	0.670513	0.263	0.0635182	0.263	0.34744	0.263	-0.332591	0.263	-0.524724	0.263	-0.0917672	0.263	-0.562229	0.263	-0.0355091	0.263	-0.387533	0.263	0.472458	0.263	-1.30608	0.263	-0.970511	0.263	-1.95585	0.263	2.53953	0.263	-0.999462	0.263	3.64528	0.263	-1.04782	0.263	-1.07349	0.263	-0.91524	0.263	-0.129602	0.263	0.269798
0.264	1.71606	0.264	0.0112081	0.264	0.33132	0.264	-0.340158	0.264	-0.467808	0.264	0.0809549	0.264	-0.481954	0.264	0.268811	0.264	-0.201651	0.264	0.71394	0.264	-1.15146	0.264	-0.59776	0.264	-1.64561	0.264	2.25956	0.264	-0.365819	0.264	4.00454	0.264	-0.987289	0.264	-1.20278	0.264	-1.06098	0.264	-0.0888062	0.264	0.24611
0.265	2.29114	0.265	-0.0332062	0.265	0.305	0.265	-0.27732	0.265	-0.452016	0.265	0.0944436	0.265	-0.32305	0.265	0.318818	0.265	0.101024	0.265	0.954435	0.265	-0.840229	0.265	-0.337526	0.265	-1.33865	0.265	1.85785	0.265	0.488579	0.265	4.50724	0.265	-0.823779	0.265	-0.915898	0.265	-0.896816	0.265	0.197748	0.265	0.214198
0.266	2.26943	0.266	-0.129273	0.266	0.29513	0.266	-0.202967	0.266	-0.452016	0.266	0.245452	0.266	-0.231261	0.266	0.479696	0.266	0.312896	0.266	1.06235	0.266	-0.64382	0.266	-0.0756464	0.266	-0.927741	0.266	1.33442	0.266	1.21566	0.266	4.69378	0.266	-0.37536	0.266	-0.848783	0.266	-0.679351	0.266	0.391855	0.266	0.175376
0.267	1.65059	0.267	-0.146709	0.267	0.305	0.267	-0.255935	0.267	-0.359898	0.267	0.275062	0.267	-0.0526168	0.267	0.652747	0.267	0.555365	0.267	1.20579	0.267	-0.45728	0.267	0.241175	0.267	-0.442146	0.267	0.782371	0.267	1.93648	0.267	4.73918	0.267	-0.268437	0.267	-0.880695	0.267	-0.794828	0.267	0.398434	0.267	0.13162
0.268	0.603398	0.268	-0.131575	0.268	0.308619	0.268	-0.129931	0.268	-0.320418	0.268	0.402382	0.268	0.0612152	0.268	0.833694	0.268	0.622151	0.268	1.32225	0.268	-0.099005	0.268	0.556023	0.268	-0.0815683	0.268	0.277694	0.268	2.51913	0.268	4.72207	0.268	-0.044063	0.268	-0.48656	0.268	-0.391481	0.268	0.767237	0.268	0.0835868
0.269	-0.612565	0.269	-0.165791	0.269	0.244794	0.269	-0.0401151	0.269	-0.27732	0.269	0.476077	0.269	0.21683	0.269	0.856724	0.269	0.787306	0.269	1.3716	0.269	0.159256	0.269	0.863304	0.269	0.33461	0.269	-0.405957	0.269	3.1304	0.269	4.34505	0.269	0.248413	0.269	-0.275346	0.269	-0.189478	0.269	0.875147	0.269	0.0332507
0.27	-1.68476	0.27	-0.252645	0.27	0.266179	0.27	0.0177879	0.27	-0.154934	0.27	0.50141	0.27	0.33461	0.27	0.921207	0.27	0.9495	0.27	1.33015	0.27	0.499765	0.27	1.14558	0.27	0.728745	0.27	-0.918859	0.27	3.54033	0.27	3.84498	0.27	0.651102	0.27	-0.277649	0.27	-0.242118	0.27	0.759341	0.27	-0.0164275
0.271	-2.33978	0.271	-0.310548	0.271	0.167809	0.271	0.0974046	0.271	-0.106243	0.271	0.574775	0.271	0.440217	0.271	1.00773	0.271	1.04984	0.271	1.31238	0.271	0.709005	0.271	1.29231	0.271	1.31107	0.271	-1.30411	0.271	3.81603	0.271	3.32944	0.271	0.761315	0.271	0.208934	0.271	-0.0309032	0.271	0.745195	0.271	-0.0661056
0.272	-2.42302	0.272	-0.295415	0.272	0.11846	0.272	0.0888507	0.272	-0.00787361	0.272	0.60274	0.272	0.523123	0.272	1.00017	0.272	1.27553	0.272	1.24724	0.272	0.973188	0.272	1.62131	0.272	1.55057	0.272	-1.93545	0.272	3.99664	0.272	2.68198	0.272	1.05873	0.272	0.44581	0.272	0.485289	0.272	1.013	0.272	-0.110849
0.273	-1.90847	0.273	-0.308245	0.273	0.107932	0.273	0.200051	0.273	0.0460815	0.273	0.610636	0.273	0.588922	0.273	0.925155	0.273	1.25744	0.273	1.15907	0.273	1.14887	0.273	1.71145	0.273	1.79534	0.273	-2.38354	0.273	4.06705	0.273	1.79798	0.273	1.18769	0.273	0.384946	0.273	0.376063	0.273	0.733351	0.273	-0.151973
0.274	-0.942217	0.274	-0.291138	0.274	0.013511	0.274	0.178008	0.274	0.122737	0.274	0.559313	0.274	0.793886	0.274	0.871199	0.274	1.22421	0.274	1.03734	0.274	1.27422	0.274	1.75027	0.274	2.10657	0.274	-2.65035	0.274	3.89597	0.274	0.767895	0.274	1.29791	0.274	0.654392	0.274	0.632021	0.274	0.882714	0.274	-0.185531
0.275	0.235911	0.275	-0.214811	0.275	-0.0105056	0.275	0.321779	0.275	0.241175	0.275	0.566222	0.275	0.743221	0.275	0.842248	0.275	1.18078	0.275	0.798821	0.275	1.46438	0.275	1.7154	0.275	2.31285	0.275	-2.93559	0.275	3.69529	0.275	-0.00195172	0.275	1.54268	0.275	1.01727	0.275	0.917259	0.275	0.719862	0.275	-0.213495
0.276	1.32357	0.276	-0.279952	0.276	-0.103611	0.276	0.308619	0.276	0.286905	0.276	0.484631	0.276	0.739931	0.276	0.769211	0.276	1.11729	0.276	0.529045	0.276	1.57854	0.276	1.7835	0.276	2.37865	0.276	-2.95763	0.276	3.30839	0.276	-0.924123	0.276	1.57262	0.276	0.918575	0.276	0.724468	0.276	0.484631	0.276	-0.231919
0.277	2.05262	0.277	-0.209218	0.277	-0.144735	0.277	0.365535	0.277	0.334939	0.277	0.415213	0.277	0.796847	0.277	0.5603	0.277	0.918904	0.277	0.329346	0.277	1.54399	0.277	1.56044	0.277	2.37207	0.277	-3.0889	0.277	2.79318	0.277	-1.71075	0.277	1.37982	0.277	1.10906	0.277	0.894887	0.277	0.326714	0.277	-0.241789
0.278	2.24179	0.278	-0.114797	0.278	-0.190136	0.278	0.392513	0.278	0.403369	0.278	0.433308	0.278	0.779081	0.278	0.493514	0.278	0.851131	0.278	0.0766779	0.278	1.51373	0.278	1.33607	0.278	2.40826	0.278	-3.14779	0.278	2.06775	0.278	-2.77109	0.278	1.35943	0.278	1.19888	0.278	1.19131	0.278	0.413568	0.278	-0.242118
0.279	1.84272	0.279	-0.131904	0.279	-0.236854	0.279	0.362574	0.279	0.528716	0.279	0.300065	0.279	0.706702	0.279	0.321121	0.279	0.77283	0.279	-0.0674216	0.279	1.4851	0.279	1.25908	0.279	2.17139	0.279	-2.87209	0.279	1.47392	0.279	-3.3238	0.279	1.43904	0.279	1.05807	0.279	0.880411	0.279	-0.0105056	0.279	-0.232906
0.28	0.95937	0.28	-0.143748	0.28	-0.263173	0.28	0.371128	0.28	0.443507	0.28	0.171428	0.28	0.646496	0.28	0.131291	0.28	0.518517	0.28	-0.357266	0.28	1.34693	0.28	0.970227	0.28	1.83318	0.28	-2.63292	0.28	0.680712	0.28	-3.97751	0.28	1.1061	0.28	0.994572	0.28	0.798492	0.28	-0.203296	0.28	-0.214482
0.281	-0.186847	0.281	-0.118087	0.281	-0.202967	0.281	0.355336	0.281	0.431005	0.281	0.119118	0.281	0.633665	0.281	-0.0838713	0.281	0.31816	0.281	-0.616842	0.281	1.20085	0.281	0.683015	0.281	1.66013	0.281	-2.23121	0.281	-0.154605	0.281	-4.36506	0.281	0.934695	0.281	1.2502	0.281	0.975491	0.281	-0.099005	0.281	-0.187834
0.282	-1.29292	0.282	-0.0638027	0.282	-0.320418	0.282	0.366193	0.282	0.528058	0.282	0.0362116	0.282	0.457982	0.282	-0.263173	0.282	0.0286448	0.282	-0.827727	0.282	0.977136	0.282	0.429689	0.282	1.39595	0.282	-1.87722	0.282	-0.769166	0.282	-4.74471	0.282	0.744866	0.282	0.87416	0.282	0.75967	0.282	-0.450371	0.282	-0.153618
0.283	-2.07955	0.283	-0.00195172	0.283	-0.324695	0.283	0.330004	0.283	0.487263	0.283	-0.0950571	0.283	0.314212	0.283	-0.352002	0.283	-0.219088	0.283	-1.01229	0.283	0.690253	0.283	0.103984	0.283	0.883372	0.283	-1.38932	0.283	-1.62389	0.283	-5.00857	0.283	0.484302	0.283	0.630047	0.283	0.514898	0.283	-0.655992	0.283	-0.114139
0.284	-2.3513	0.284	0.0888507	0.284	-0.393455	0.284	0.253677	0.284	0.428044	0.284	-0.205599	0.284	0.249729	0.284	-0.54545	0.284	-0.353647	0.284	-1.12316	0.284	0.427715	0.284	-0.281597	0.284	0.4718	0.284	-0.730345	0.284	-2.26576	0.284	-5.04475	0.284	0.100366	0.284	0.544179	0.284	0.446797	0.284	-0.560584	0.284	-0.0690666
0.285	-2.0506	0.285	0.0829288	0.285	-0.322392	0.285	0.258612	0.285	0.355336	0.285	-0.276662	0.285	0.109577	0.285	-0.65336	0.285	-0.579666	0.285	-1.28733	0.285	0.260915	0.285	-0.562229	0.285	0.12504	0.285	-0.238828	0.285	-3.0333	0.285	-4.73156	0.285	-0.0536038	0.285	0.410936	0.285	0.210579	0.285	-0.838255	0.285	-0.0213624
0.286	-1.26364	0.286	0.160243	0.286	-0.294428	0.286	0.199064	0.286	0.34744	0.286	-0.341803	0.286	-0.0542618	0.286	-0.793841	0.286	-0.75173	0.286	-1.33833	0.286	-0.0111636	0.286	-0.77114	0.286	-0.382927	0.286	0.267166	0.286	-3.44322	0.286	-4.35058	0.286	-0.207573	0.286	-0.0124795	0.286	-0.154276	0.286	-1.00177	0.286	0.0283158
